model,n,log_loss,brier,accuracy
Uniform (1/3),5855,1.0986122886681096,0.6666666666666669,0.47736976942783943
ELO-only,5855,0.8832308584551279,0.5188412256087301,0.6061485909479077
LogReg,5855,0.8628137386568535,0.5065872511334221,0.6063193851409052
XGBoost,5855,0.8884996742349932,0.5206000864882706,0.5928266438941076
XGBoost+Iso,5855,0.8838789459037444,0.5157564862593452,0.601195559350982
